Topic,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Category1,Country,Novelty_Score
Cranberry Juice,ginger ale,last month,0.0,-1.1488096,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Ears,ginger ale,last year,-0.6369,-63.690002,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Ice Cubes,ginger ale,last year,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Stick,ginger ale,last 6 month,0.0,-1.0268962,6,6.0,0.0,Motivation,Beverage,Canada,7.6868787
#0calories,soda,last year,0.4404,44.04,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
#giveaway,soda,last month,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
#giveaway,soda,last year,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Dried,soda,last 3 month,0.0,-1.030303,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Dried,soda,last 6 month,0.0,-1.030303,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Grape,soda,last 6 month,0.3612,36.12,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Lemon,soda,last year,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#demwitches,tonic,last year,0.0,-0.9828149,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#howsyourheadhun,tonic,last 6 month,-0.2942,-29.42,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
#rosemary,tonic,last 3 month,0.0,-1.0423371,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Coffee,tonic,last 3 month,0.5859,58.59,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#DietCoke,ginger ale,last 3 month,0.0,0.0,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#artificial,ginger ale,last year,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#coke,ginger ale,last year,0.0,-0.9777233,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#metal,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
Diet,ginger ale,last 3 month,-0.1926,-0.76780266,2,0.0,0.0,Motivation,Beverage,Canada,8.834928
Inca,ginger ale,last year,0.0,-0.983482,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Pimento,ginger ale,last year,0.0,-0.90966576,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Sprite,ginger ale,last year,-0.13785,-1.2132967,6,0.0,0.0,Ingredient,Beverage,Canada,7.6868787
Baking Soda,soda,last year,0.0,0.0,4,4.0,0.0,Ingredient,Beverage,Canada,8.834928
Mature,soda,last year,0.6124,61.239998,0,-0.85714287,0.0,Motivation,Beverage,Canada,8.589969
Rolls,soda,last 3 month,0.0772,7.7200003,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Shake,soda,last year,0.0003375113,0.03375113,0,-0.8333333,0.0,Motivation,Beverage,Canada,8.589969
Tuna,soda,last year,0.8743,87.43,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#MarchMadness,tonic,last 6 month,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#RealColumbiaSC,tonic,last 6 month,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#developerlife,tonic,last month,0.6369,63.690002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#spanishgin,tonic,last year,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Cinnamon,tonic,last 6 month,0.0,-0.98876655,3,3.0,0.0,Ingredient,Beverage,Canada,
