Topic,Topic2,Category2,Frequency_2018-01,Frequency_2018-02,Frequency_2018-03,Frequency_2018-04,Frequency_2018-05,Frequency_2018-06,Frequency_2018-07,Frequency_2018-08,Frequency_2018-09,Frequency_2018-10,Frequency_2018-11,Frequency_2018-12,Frequency_2019-01,Frequency_2019-02,Frequency_2019-03,Frequency_2019-04,Frequency_2019-05,Frequency_2019-06,Frequency_2019-07,Frequency_2019-09,Frequency_2019-10,Frequency_2019-11,Frequency_2019-12,Frequency_2020-01,Frequency_2020-02,Frequency_2020-03,Frequency_2020-04,Frequency_2020-05,Frequency_2020-06,Category1,Frequency_2019-08,Frequency_2020-07,Frequency_2020-08,Frequency_2020-09
Beer,Ginger,ginger ale,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
#Obesity,#Soda,soda,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
#FoodPoisoning,Ice,ginger ale,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
@OutwavesMA,#djent,ginger ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,2
Revolution,Coke,ginger ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Beverage,0,0,0,0
#DietCoke,Diet Coke,ginger ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Beverage,0,0,0,0
#NewUse,#Culture,ginger ale,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
#summer,Ginger,soda,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
Croissants,Onion,soda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Beverage,0,0,0,0
Juice,Soda,soda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Beverage,0,0,0,0
